code,service,time,from
CG004095750IS,InternationalParcel,2022-07-12T16:29:10+00:00,Pósthús Akureyri
CG004095896IS,InternationalParcel,na,na
CG004095905IS,InternationalParcel,na,na
CG004095919IS,InternationalParcel,na,na
CG004095922IS,InternationalParcel,na,na
CG004095998IS,InternationalParcel,na,na
CG004096035IS,InternationalParcel,na,na
CG004096070IS,InternationalParcel,2022-07-13T12:01:15+00:00,Pósthús Akureyri
CG004096083IS,InternationalParcel,2022-07-13T10:24:46+00:00,Pósthús Akureyri
CG004096097IS,InternationalParcel,2022-07-13T10:25:06+00:00,Pósthús Akureyri
CG004096123IS,InternationalParcel,na,na
CG004096137IS,InternationalParcel,na,na
CG004096154IS,InternationalParcel,na,na
CG004096199IS,InternationalParcel,na,na
CG004096239IS,InternationalParcel,2022-07-13T10:23:58+00:00,Pósthús Akureyri
CG004096358IS,InternationalParcel,na,na
CG004096389IS,InternationalParcel,2022-07-13T11:14:36+00:00,Pósthús Akureyri
CG004096432IS,InternationalParcel,na,na
CG004096463IS,InternationalParcel,na,na
CG004096494IS,InternationalParcel,2022-07-13T16:50:52+00:00,Pósthús Akureyri
CG004096503IS,InternationalParcel,na,na
CG004096622IS,InternationalParcel,na,na
CG004096653IS,InternationalParcel,na,na
CG004096667IS,InternationalParcel,na,na
CG004096684IS,InternationalParcel,na,na
CG004096724IS,InternationalParcel,na,na
CG004096738IS,InternationalParcel,na,na
CG004096772IS,InternationalParcel,na,na
CG004096790IS,InternationalParcel,na,na
CG004096809IS,InternationalParcel,2022-07-13T14:59:20+00:00,Pósthús Akureyri
CG004096905IS,InternationalParcel,na,na
CG004096928IS,InternationalParcel,na,na
CG004096959IS,InternationalParcel,na,na
CG004096976IS,InternationalParcel,2022-07-13T15:58:11+00:00,Pósthús Akureyri
CG004096980IS,InternationalParcel,2022-07-13T16:00:04+00:00,Pósthús Akureyri
CG004096993IS,InternationalParcel,na,na
CG004097027IS,InternationalParcel,2022-07-13T16:19:17+00:00,Pósthús Akureyri
CG004097035IS,InternationalParcel,na,na
CG004097058IS,InternationalParcel,na,na
CG004097089IS,InternationalParcel,na,na
CG004097092IS,InternationalParcel,na,na
CG004097146IS,InternationalParcel,na,na
CG004097203IS,InternationalParcel,na,na
CG004097217IS,InternationalParcel,na,na
CG004097225IS,InternationalParcel,na,na
CG004097234IS,InternationalParcel,na,na
CG004097248IS,InternationalParcel,na,na
CG004097251IS,InternationalParcel,na,na
CG004097265IS,InternationalParcel,na,na
CG004097279IS,InternationalParcel,na,na
CG004097282IS,InternationalParcel,na,na
CG004097305IS,InternationalParcel,na,na
RG000838032IS,InternationalLetter,2022-07-12T15:28:06+00:00,Pósthús Akureyri
RG000838063IS,InternationalLetter,na,na
RG000838179IS,InternationalLetter,na,na
RG000838219IS,InternationalLetter,na,na
RG000838386IS,InternationalLetter,na,na
RG000838430IS,InternationalLetter,na,na
RG000838474IS,InternationalLetter,na,na
RG000838528IS,InternationalLetter,na,na
RG000838576IS,InternationalLetter,na,na
RG000838593IS,InternationalLetter,na,na
RG000838620IS,InternationalLetter,na,na
RG000838647IS,InternationalLetter,na,na
RG000838655IS,InternationalLetter,na,na
RG000838752IS,InternationalLetter,2022-07-13T12:40:58+00:00,Pósthús Akureyri
RG000838854IS,InternationalLetter,na,na
RG000838908IS,InternationalLetter,na,na
RG000838939IS,InternationalLetter,na,na
RG000838995IS,InternationalLetter,na,na
RG000839055IS,InternationalLetter,na,na
RG000839069IS,InternationalLetter,na,na
RG000839072IS,InternationalLetter,na,na
RG000839086IS,InternationalLetter,na,na
RG000839109IS,InternationalLetter,na,na
RG000839126IS,InternationalLetter,2022-07-13T15:43:56+00:00,Pósthús Akureyri
RG000839214IS,InternationalLetter,na,na
RG000839228IS,InternationalLetter,na,na
RG000839231IS,InternationalLetter,na,na
