code,service,time,from
CG004000045IS,InternationalParcel,na,na
CG004000054IS,InternationalParcel,2022-04-07T12:16:00+00:00,Pósthús Selfossi
CG004000111IS,InternationalParcel,na,na
CG004000743IS,InternationalParcel,na,na
CG004000757IS,InternationalParcel,2022-04-07T14:05:01+00:00,Pósthús Akureyri
CG004000805IS,InternationalParcel,2022-04-07T14:02:33+00:00,210
CG004000845IS,InternationalParcel,2022-04-07T14:21:50+00:00,Pósthús Hafnarfirði
CG003600026IS,InternationalParcel,2021-09-30T20:42:00+00:00,Póstmiðstöð
CG003600030IS,InternationalParcel,2021-09-29T15:09:20+00:00,Pósthús Síðumúla 3-5
CG004000902IS,InternationalParcel,2022-04-07T14:38:01+00:00,Pósthús Hagatorgi 1
CG004000920IS,InternationalParcel,2022-04-07T14:39:00+00:00,Pósthús Kópavogi
CG004001324IS,InternationalParcel,na,na
CG004001341IS,InternationalParcel,na,na
CG004001505IS,InternationalParcel,na,na
CG004001514IS,InternationalParcel,na,na
CG004010003IS,InternationalParcel,na,na
CG004010025IS,InternationalParcel,na,na
CG004001593IS,InternationalParcel,2022-04-11T09:32:05+00:00,Pósthús Hagatorgi 1
CG004001616IS,InternationalParcel,2022-04-07T21:58:42+00:00,Póstbox Mosfellsbær við A
CG004010082IS,InternationalParcel,2022-04-13T17:02:09+00:00,270
CG004001664IS,InternationalParcel,na,na
CG004010241IS,InternationalParcel,2022-04-19T18:44:01+00:00,Póstmiðstöð
CG004010272IS,InternationalParcel,na,na
CG004001837IS,InternationalParcel,2022-04-08T14:03:13+00:00,Pósthús Hagatorgi 1
CG004001911IS,InternationalParcel,2022-04-11T11:08:31+00:00,Póstmiðstöð
CG004001956IS,InternationalParcel,na,na
CG004010414IS,InternationalParcel,na,na
CG004010445IS,InternationalParcel,2022-04-20T09:38:06+00:00,Pósthús Þönglabakka 4
CG004002072IS,InternationalParcel,na,na
CG004002228IS,InternationalParcel,na,na
CG004002506IS,InternationalParcel,2022-04-08T12:19:52+00:00,Pósthús Höfðabakka 9 C
CG004002642IS,InternationalParcel,2022-04-11T16:39:04+00:00,Póstmiðstöð
CG004002744IS,InternationalParcel,2022-04-08T13:13:48+00:00,Pósthús Höfðabakka 9 C
CG004002761IS,InternationalParcel,2022-04-08T13:17:24+00:00,Pósthús Þönglabakka 4
RG000700039IS,InternationalLetter,2021-12-22T15:28:07+00:00,270
RG000700056IS,InternationalLetter,2021-12-22T15:34:28+00:00,Pósthús Síðumúla 3-5
CG004002815IS,InternationalParcel,2022-04-08T13:34:27+00:00,Pósthús Höfðabakka 9 C
CG004002846IS,InternationalParcel,2022-04-08T13:37:58+00:00,Pósthús Akureyri
CG004002885IS,InternationalParcel,2022-04-08T13:45:17+00:00,Pósthús Hafnarfirði
CG004003002IS,InternationalParcel,2022-04-08T13:58:38+00:00,Pósthús Akureyri
RG000800068IS,InternationalLetter,2022-05-20T10:13:08+00:00,Pósthús Akureyri
RG000800071IS,InternationalLetter,2022-05-20T10:13:08+00:00,Pósthús Akureyri
RG000800099IS,InternationalLetter,2022-05-20T14:55:10+00:00,Pósthús Síðumúla 3-5
RG000800108IS,InternationalLetter,na,na
RG000800125IS,InternationalLetter,2022-05-20T14:55:10+00:00,Pósthús Síðumúla 3-5
CG004003197IS,InternationalParcel,2022-04-08T14:29:03+00:00,Pósthús Patreksfirði
CG004003223IS,InternationalParcel,na,na
RG000800160IS,InternationalLetter,2022-05-23T10:25:33+00:00,Pósthús Reykjanesbæ
CG004003271IS,InternationalParcel,na,na
RG000800244IS,InternationalLetter,na,na
RG000800258IS,InternationalLetter,na,na
RG000800289IS,InternationalLetter,2022-05-20T11:40:50+00:00,Pósthús Hafnarfirði
CG004003475IS,InternationalParcel,2022-04-20T14:59:20+00:00,Pósthús Stykkishólmi
RG000800425IS,InternationalLetter,2022-05-20T12:29:10+00:00,Pósthús Vestmannaeyjum
RG000800434IS,InternationalLetter,2022-05-20T19:49:24+00:00,Póstmiðstöð
RG000800451IS,InternationalLetter,2022-05-20T14:55:10+00:00,Pósthús Síðumúla 3-5
RG000800479IS,InternationalLetter,2022-05-24T15:07:03+00:00,Pósthús Hafnarfirði
RG000800540IS,InternationalLetter,2022-05-20T13:05:48+00:00,Pósthús Þönglabakka 4
CG004003617IS,InternationalParcel,2022-04-08T15:35:47+00:00,Pósthús Þönglabakka 4
RG000800553IS,InternationalLetter,2022-05-20T13:17:22+00:00,Pósthús Akureyri
RG000800567IS,InternationalLetter,2022-05-20T13:20:46+00:00,Pósthús Þönglabakka 4
RG000800638IS,InternationalLetter,2022-05-25T13:49:15+00:00,Pósthús Fáskrúðsfirði
CG004003705IS,InternationalParcel,2022-04-08T15:50:05+00:00,Pósthús Síðumúla 3-5
RG000800672IS,InternationalLetter,2022-05-20T14:14:35+00:00,Pósthús Akureyri
CG004003824IS,InternationalParcel,2022-04-08T19:56:44+00:00,Póstbox Barónsstíg við Ex
CG004003957IS,InternationalParcel,na,na
CG004003991IS,InternationalParcel,na,na
RG000810048IS,InternationalLetter,2022-06-02T15:33:39+00:00,Pósthús Síðumúla 3-5
CG004004087IS,InternationalParcel,2022-04-10T11:16:45+00:00,Póstbox Keflavík við póst
CG004004189IS,InternationalParcel,na,na
RG000820005IS,InternationalLetter,2022-06-21T16:23:27+00:00,Póstmiðstöð
RG000820014IS,InternationalLetter,2022-06-15T16:48:52+00:00,Pósthús Hagatorgi 1
CG004004215IS,InternationalParcel,2022-04-10T18:00:44+00:00,Póstbox Grímsbæ við Kramb
RG000820045IS,InternationalLetter,2022-06-16T10:32:20+00:00,Pósthús Höfðabakka 9 C
CG004004232IS,InternationalParcel,2022-04-10T18:40:46+00:00,Póstbox Hraunbæ við Orkun
RG000820059IS,InternationalLetter,2022-06-16T10:54:45+00:00,Pósthús Höfðabakka 9 C
RG000830008IS,InternationalLetter,2022-07-01T13:32:53+00:00,Pósthús Kópavogi
CG004004379IS,InternationalParcel,na,na
CG004004396IS,InternationalParcel,2022-04-11T08:28:46+00:00,Póstbox Hvolsvelli við Or
CG004004405IS,InternationalParcel,na,na
RG000830042IS,InternationalLetter,2022-07-01T13:23:10+00:00,Pósthús Höfðabakka 9 C
RG000830056IS,InternationalLetter,2022-07-01T13:42:13+00:00,Pósthús Þönglabakka 4
CG004004453IS,InternationalParcel,na,na
CG004004484IS,InternationalParcel,2022-04-11T11:24:57+00:00,Pósthús Síðumúla 3-5
CG004004507IS,InternationalParcel,2022-04-11T10:02:50+00:00,Pósthús Hafnarfirði
RG000835005IS,InternationalLetter,2022-07-08T11:32:41+00:00,Pósthús Hagatorgi 1
RG000835019IS,InternationalLetter,na,na
RG000835022IS,InternationalLetter,2022-07-12T17:17:29+00:00,Póstmiðstöð
RG000835036IS,InternationalLetter,2022-07-08T12:23:49+00:00,Pósthús Akureyri
RG000835040IS,InternationalLetter,2022-07-08T12:23:49+00:00,Pósthús Akureyri
RG000835053IS,InternationalLetter,2022-07-08T12:23:49+00:00,Pósthús Akureyri
RG000835067IS,InternationalLetter,2022-07-13T16:29:25+00:00,Póstmiðstöð
RG000835075IS,InternationalLetter,2022-07-08T12:31:29+00:00,Pósthús Selfossi
RG000835084IS,InternationalLetter,2022-07-08T12:36:30+00:00,Pósthús Reykjanesbæ
RG000835098IS,InternationalLetter,2022-07-08T12:36:30+00:00,Pósthús Reykjanesbæ
RG000835107IS,InternationalLetter,2022-07-08T13:06:24+00:00,Pósthús Kópavogi
RG000835115IS,InternationalLetter,2022-07-08T12:38:20+00:00,Pósthús Hagatorgi 1
RG000835124IS,InternationalLetter,2022-07-08T12:49:33+00:00,Pósthús Kópavogi
